
2024/11/10 (15:46:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (15:55:07) | ===> btop++ v.1.4.0
2024/11/11 (15:55:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (15:55:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (14:49:48) | ===> btop++ v.1.4.0
2024/11/13 (14:49:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/13 (14:49:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (14:27:19) | ===> btop++ v.1.4.0
2024/11/22 (14:27:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/22 (14:27:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (13:08:07) | ===> btop++ v.1.4.0
2024/11/23 (13:08:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/23 (13:08:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (16:33:16) | ===> btop++ v.1.4.0
2024/11/24 (16:33:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/24 (16:33:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (17:30:00) | ===> btop++ v.1.4.0
2024/11/25 (17:30:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
